PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.65,177,PMT65_16P_750_0002-0002,1,405000,1179.597,725,4095,16
0.65,178,PMT65_14P_750_0001-0002,1,405000,961.268,651,3561,14
0.65,179,PMT65_12P_750_0001-0002,1,405000,748.387,416,3068,12
0.65,180,PMT65_8P_750_0001-0002,1,405000,385.355,222,1838,8
0.65,181,PMT65_10P_750_0001-0002,1,405000,557.025,322,2403,10
0.65,182,PMT65_6P_750_0001-0002,1,405000,240.232,121,914,6
0.65,183,PMT65_4P_750_0001-0002,1,405000,121.342,48,800,4
0.65,184,PMT65_2P_750_0001-0002,1,405000,40.014,15,597,2
0.65,185,PMT65_0P_750_0001-0002,1,405000,0.00000001,0,598,0
0.6,186,PMT6_20P_750_0001-0002,1,405000,652.126,432,1933,20
0.6,187,PMT6_18P_750_0001-0002,1,405000,550.12,362,1618,18
0.6,189,PMT6_16P_750_0001-0002,1,405000,453.033,269,1543,16
0.6,190,PMT6_14P_750_0001-0002,1,405000,368.798,186,1222,14
0.6,191,PMT6_12P_750_0001-0002,1,405000,289.765,144,946,12
0.6,192,PMT6_10P_750_0001-0002,1,405000,215.209,91,799,10
0.6,193,PMT6_8P_750_0002-0002,1,405000,148.647,45,627,8
0.6,194,PMT6_6P_750-0002,1,405000,93.006,7,514,6
0.6,195,PMT6_4P_750_0001-0002,1,405000,48.332,1,461,4
0.6,196,PMT6_2P_750_0001-0002,1,405000,16.876,0,390,2
0.6,197,PMT6_0P_750_0001-0002,1,405000,0.00000001,0,359,0
